客户ID,产品名称,交易类型,产品ID,产品成本,利润,单价,年份,订单数量,销售区域ID,销售金额
11000,头盔,1.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11000,山地自行车,1.5,348.5,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11000,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11000,旅行自行车,1.0,573.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11000,车胎和内胎,1.0,535.5,6.3543,10.6357,16.99,2015.0,1,9,16.99
11000,骑行服,1.0,488.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11001,公路自行车,3.0,604.0,343.6496,196.3404,539.99,2016.0,1,9,539.99
11001,头盔,3.0,217.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11001,山地自行车,1.5,351.5,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11001,帽子,2.0,225.0,6.9223,2.0677,8.99,2015.0,1,9,8.99
11001,挡泥板,2.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11001,水壶和水壶架,2.5,477.75,2.7078,4.5322,7.24,2015.5,1,9,7.24
11001,骑行服,2.0,491.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11002,头盔,1.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11002,山地自行车,1.0,352.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11002,旅行自行车,1.0,561.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11003,山地自行车,1.5,353.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11003,帽子,1.0,225.0,6.9223,2.0677,8.99,2015.0,1,9,8.99
11003,旅行自行车,1.0,564.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11003,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,9,7.49
11003,车胎和内胎,1.0,517.0,4.5217,7.5683,12.089999999999998,2015.0,1,9,12.089999999999998
11004,头盔,2.5,215.5,13.0863,21.9037,34.99,2015.0,1,9,34.99
11004,山地自行车,2.0,350.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11004,挡泥板,3.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11004,旅行自行车,2.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11005,山地自行车,1.5,353.0,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11005,旅行自行车,1.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11005,车胎和内胎,2.0,515.0,5.270933333333334,8.8224,14.093333333333334,2015.0,1,9,14.093333333333334
11006,山地自行车,1.0,351.5,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11006,旅行自行车,3.0,562.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11006,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,9,7.49
11007,头盔,2.0,218.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11007,山地自行车,1.0,354.0,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11007,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11007,旅行自行车,3.0,564.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11007,车胎和内胎,1.0,532.5,7.47815,12.51685,19.995,2015.0,1,9,19.995
11008,头盔,1.0,214.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11008,山地自行车,2.0,354.5,1575.03785,1259.95215,2834.99,2014.0,1,9,2834.99
11008,旅行自行车,1.0,561.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11008,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,9,7.49
11008,车胎和内胎,1.0,480.0,0.8565,1.4335,2.29,2015.0,1,9,2.29
11009,头盔,1.0,217.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11009,山地自行车,1.0,354.5,1575.03785,1259.95215,2834.99,2014.0,1,9,2834.99
11009,旅行自行车,1.0,575.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11009,车胎和内胎,1.0,480.0,0.8565,1.4335,2.29,2015.0,1,9,2.29
11010,山地自行车,1.0,353.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11010,帽子,1.0,225.0,6.9223,2.0677,8.99,2015.0,1,9,8.99
11010,旅行自行车,1.0,575.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11011,山地自行车,1.0,352.5,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11011,旅行自行车,3.0,574.0,1481.9379,902.1321,2384.07,2015.0,1,9,2384.07
11011,骑行服,3.0,489.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11012,头盔,1.0,217.0,13.0863,21.9037,34.99,2015.0,1,1,34.99
11012,车胎和内胎,2.0,518.5,4.326275,7.241224999999999,11.5675,2015.5,1,1,11.5675
11013,头盔,2.0,219.5,13.0863,21.9037,34.99,2015.5,1,1,34.99
11013,车胎和内胎,2.3333333333333335,531.3333333333334,5.482866666666666,9.177133333333332,14.660000000000002,2015.6666666666667,1,1,14.660000000000002
11014,头盔,2.0,217.0,13.0863,21.9037,34.99,2015.0,1,1,34.99
11014,手套,3.0,465.0,9.1593,15.3307,24.49,2015.0,1,1,24.49
11014,车胎和内胎,2.3333333333333335,531.3333333333334,5.482866666666666,9.177133333333332,14.660000000000002,2015.0,1,1,14.660000000000002
11015,山地自行车,1.0,353.0,1265.6195,1054.3705,2319.99,2015.0,1,4,2319.99
11015,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,4,21.98
11015,自行车支架,1.0,486.0,59.466,99.53399999999999,159.0,2015.0,1,4,159.0
11016,山地自行车,1.0,363.0,1251.9813,1043.0087,2294.99,2015.0,1,4,2294.99
11016,车胎和内胎,1.0,508.5,6.97325,11.67175,18.645,2015.0,1,4,18.645
11017,山地自行车,2.5,356.5,1575.03785,1259.95215,2834.99,2014.0,1,9,2834.99
11017,挡泥板,3.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11017,旅行自行车,1.0,569.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11018,头盔,1.0,222.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11018,山地自行车,1.5,349.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11018,挡泥板,2.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11018,旅行自行车,1.0,569.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11018,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11019,头盔,1.3333333333333333,219.33333333333334,13.0863,21.9037,34.99,2015.6666666666667,1,6,34.99
11019,手套,1.0,465.0,9.1593,15.3307,24.49,2016.0,1,6,24.49
11019,挂架,1.0,483.0,44.88,75.12,120.0,2015.5,1,6,120.0
11019,水壶和水壶架,1.0,479.0,3.3623,5.6277,8.99,2015.0,1,6,8.99
11019,短裤,3.0,475.0,26.1763,43.8137,69.99,2016.0,1,6,69.99
11019,袜子,2.5,482.0,3.3623,5.6277,8.99,2015.0,1,6,8.99
11019,车胎和内胎,1.5789473684210527,519.4736842105264,4.602599999999999,7.703715789473688,12.306315789473684,2015.6315789473683,1,6,12.306315789473684
11019,骑行服,1.6666666666666667,403.3333333333333,40.545633333333335,12.111033333333333,52.656666666666666,2015.6666666666667,1,6,52.656666666666666
11020,山地自行车,1.0,363.0,1251.9813,1043.0087,2294.99,2015.0,1,6,2294.99
11020,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,6,21.98
11021,山地自行车,2.0,363.0,1251.9813,1043.0087,2294.99,2015.0,1,1,2294.99
11021,挡泥板,2.0,485.0,8.2205,13.7595,21.98,2015.0,1,1,21.98
11021,水袋背包,2.0,487.0,20.5663,34.4237,54.99,2015.0,1,1,54.99
11022,山地自行车,1.0,353.0,1265.6195,1054.3705,2319.99,2015.0,1,1,2319.99
11022,车胎和内胎,1.0,480.0,0.8565,1.4335,2.29,2015.0,1,1,2.29
11023,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,4,21.98
11023,车胎和内胎,2.0,518.5,4.326275,7.241224999999999,11.5675,2015.5,1,4,11.5675
11023,骑行服,1.0,490.0,41.5723,12.4177,53.99,2015.0,1,4,53.99
11024,清洁剂,1.0,484.0,2.9733,4.9767,7.95,2016.0,1,4,7.95
11024,车胎和内胎,1.0,510.8,3.63232,6.079680000000001,9.712,2015.4,1,4,9.712
11025,山地自行车,1.0,353.5,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11025,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,9,21.98
11025,旅行自行车,1.0,565.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11025,背心,1.0,472.0,23.749000000000002,39.751,63.5,2015.0,1,9,63.5
11025,骑行服,1.0,488.0,41.5723,12.4177,53.99,2016.0,1,9,53.99
11026,山地自行车,1.5,349.5,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11026,手套,2.0,467.0,9.1593,15.3307,24.49,2015.0,1,9,24.49
11026,旅行自行车,3.0,567.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11026,水袋背包,2.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11026,车胎和内胎,3.0,535.5,6.3543,10.6357,16.99,2016.0,1,9,16.99
11027,山地自行车,1.0,355.0,1582.06785,1265.42215,2847.49,2014.0,1,9,2847.49
11027,帽子,1.0,225.0,6.9223,2.0677,8.99,2015.0,1,9,8.99
11027,旅行自行车,1.0,571.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11027,水袋背包,1.0,487.0,20.5663,34.4237,54.99,2015.0,1,9,54.99
11027,车胎和内胎,1.0,517.0,4.5217,7.5683,12.089999999999998,2016.0,1,9,12.089999999999998
11027,骑行服,1.0,490.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11028,山地自行车,1.5,351.0,1581.8569499999999,1265.63305,2847.49,2014.0,1,9,2847.49
11028,旅行自行车,1.0,569.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11028,车胎和内胎,1.0,508.5,6.97325,11.67175,18.645,2015.0,1,9,18.645
11029,头盔,2.0,222.0,13.0863,21.9037,34.99,2015.0,1,9,34.99
11029,山地自行车,2.0,350.0,1588.88695,1271.1030500000002,2859.99,2014.0,1,9,2859.99
11029,旅行自行车,1.0,569.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11029,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11029,骑行服,2.0,489.0,41.5723,12.4177,53.99,2015.0,1,9,53.99
11030,山地自行车,1.5,349.5,1588.88695,1271.1030500000002,2859.99,2014.5,1,9,2859.99
11030,帽子,1.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11030,旅行自行车,1.0,566.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11031,山地自行车,2.0,352.0,1588.88695,1271.1030500000002,2859.99,2014.5,1,9,2859.99
11031,旅行自行车,2.0,568.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11031,水壶和水壶架,2.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11031,车胎和内胎,1.0,480.0,0.8565,1.4335,2.29,2016.0,1,9,2.29
11032,山地自行车,1.0,351.5,1581.8569499999999,1265.63305,2847.49,2014.5,1,9,2847.49
11032,帽子,1.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11032,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2016.0,1,9,21.98
11032,旅行自行车,1.0,570.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11032,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2016.0,1,9,7.49
11032,车胎和内胎,1.0,515.0,5.270933333333334,8.8224,14.093333333333334,2016.0,1,9,14.093333333333334
11033,头盔,1.0,222.0,13.0863,21.9037,34.99,2016.0,1,9,34.99
11033,山地自行车,2.0,352.5,1581.8569499999999,1265.63305,2847.49,2014.5,1,9,2847.49
11033,帽子,3.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11033,旅行自行车,3.0,585.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11033,水壶和水壶架,3.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11034,山地自行车,3.0,353.5,1582.06785,1265.42215,2847.49,2014.5,1,9,2847.49
11034,旅行自行车,1.0,567.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11034,骑行服,1.0,489.0,41.5723,12.4177,53.99,2016.0,1,9,53.99
11035,山地自行车,2.0,350.5,1581.8569499999999,1265.63305,2847.49,2014.5,1,9,2847.49
11035,旅行自行车,1.0,585.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11035,水壶和水壶架,1.0,478.0,2.6143,4.3757,6.99,2016.0,1,9,6.99
11036,头盔,3.0,217.0,13.0863,21.9037,34.99,2015.0,1,4,34.99
11036,山地自行车,3.0,357.0,1265.6195,1054.3705,2319.99,2015.0,1,4,2319.99
11037,山地自行车,1.0,361.0,1251.9813,1043.0087,2294.99,2015.0,1,6,2294.99
11037,挡泥板,1.0,485.0,8.2205,13.7595,21.98,2015.0,1,6,21.98
11037,水壶和水壶架,1.0,477.5,2.8013,4.6887,7.49,2015.0,1,6,7.49
11037,车胎和内胎,1.0,515.0,5.270933333333334,8.8224,14.093333333333334,2015.0,1,6,14.093333333333334
11038,山地自行车,1.0,353.0,1581.8569499999999,1265.63305,2847.49,2014.5,1,9,2847.49
11038,旅行自行车,3.0,566.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
11039,山地自行车,1.0,351.0,1588.88695,1271.1030500000002,2859.99,2014.5,1,9,2859.99
11039,帽子,1.0,225.0,6.9223,2.0677,8.99,2016.0,1,9,8.99
11039,挂架,1.0,483.0,44.88,75.12,120.0,2016.0,1,9,120.0
11039,旅行自行车,1.0,572.0,461.4448,280.9052,742.35,2016.0,1,9,742.35
